cycle,event_kind,task_id,cluster_id,chiplet_id,core_id,note
0,TASK_DEFERRED,13,3,5,-1,"No core available"
0,CLUSTER_PLACED,-1,3,5,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,4,-1,-1,"COMM_HEAVY (graph_aware) tasks=1"
0,TASK_DEFERRED,15,4,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,4,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,5,-1,-1,"COMM_LESS (graph_aware) tasks=4"
32505,TASK_PLACED,14,5,0,0,"start=32505 finish=34105 dur=1600 wait=32505 [core-stall]"
0,TASK_DEFERRED,16,5,0,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,17,5,0,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,18,5,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,5,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,6,-1,-1,"COMM_HEAVY (graph_aware) tasks=3"
0,TASK_DEFERRED,20,6,2,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,21,6,2,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,22,6,2,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,6,2,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,7,-1,-1,"COMM_LESS (graph_aware) tasks=2"
0,TASK_PLACED,19,7,3,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,19,7,3,2,"Deferred replica (high slack)"
0,TASK_DEFERRED,23,7,3,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,7,3,-1,"Single-chiplet placement"
32757,TASK_PLACED,1,2,4,0,"CA start=32757 finish=33757 data_ready=32757"
32757,TASK_PLACED,7,0,1,0,"CA start=32757 finish=34457 data_ready=32757"
33032,TASK_PLACED,14,5,0,1,"CA start=33032 finish=34632 data_ready=33032"
33445,TASK_PLACED,11,3,5,0,"CA start=33445 finish=34945 data_ready=33445"
32595,TASK_PLACED,20,6,2,0,"CA start=32595 finish=34695 data_ready=32595"
34011,TASK_PLACED,2,2,4,1,"CA start=34011 finish=35111 data_ready=34011"
34711,TASK_PLACED,8,0,1,1,"CA start=34711 finish=36511 data_ready=34711"
35222,TASK_PLACED,21,6,2,1,"CA start=35222 finish=36522 data_ready=35222"
35887,TASK_PLACED,12,3,5,1,"CA start=35887 finish=37887 data_ready=35887"
35388,TASK_PLACED,3,2,4,0,"CA start=35388 finish=36388 data_ready=35388"
36665,TASK_PLACED,4,1,2,2,"CA start=36665 finish=38865 data_ready=36665"
36788,TASK_PLACED,9,0,1,0,"CA start=36788 finish=69293 data_ready=36788"
69293,REPLICA_PLACED,9,0,1,1,"Deferred replica"
37049,TASK_PLACED,22,6,2,3,"CA start=37049 finish=42549 data_ready=37049"
38852,TASK_PLACED,13,3,5,0,"CA start=38852 finish=40752 data_ready=38852"
39392,TASK_PLACED,5,1,2,0,"CA start=39392 finish=71897 data_ready=39392"
71897,REPLICA_PLACED,5,1,2,2,"Deferred replica"
41717,TASK_PLACED,15,4,0,2,"CA start=41717 finish=42717 data_ready=41717"
42639,TASK_PLACED,23,7,3,1,"CA start=42639 finish=75144 data_ready=42639"
75144,REPLICA_PLACED,23,7,3,3,"Deferred replica"
42994,TASK_PLACED,16,5,0,3,"CA start=42994 finish=45294 data_ready=42994"
45571,TASK_PLACED,17,5,0,0,"CA start=45571 finish=47971 data_ready=45571"
48061,TASK_PLACED,18,5,0,1,"CA start=48061 finish=80566 data_ready=48061"
80566,REPLICA_PLACED,18,5,0,2,"Deferred replica"
